"","country_year","RECONCILED.post_elec_violence","RECONCILED.turnout","RECONCILED.elec_integrity","RECONCILED.pre_elec_legal_integrity","RECONCILED.elec_explicit_cheating","electexec","electleg","electboth","IAEP.Constitution.amended.this.year.","IAEP.Age.of.constitution..years.","govstruct","IAEP.Regional.government.reps.selected","IAEP.Election.scheduled","IAEP.Election.period","IAEP.Do.party.nominations.field.leg.candidates.","IAEP.Do.party.nominations.field.executive.candidates.","IAEP.Leg.elec.sys","IAEP.Exec.elec.sys","IAEP.Exec.elec.rules","IAEP.Num.of.parties.that.hold....5..of.legislature","IAEP.Official.state.party.","IAEP.Leg.elec.competetive.","IAEP.Exec.elec.competetive.","IAEP.Boycotted.by.major.party.","IAEP.Did.election.cause.protest.violence.","IAEP.protestpart","IAEP...of.pop.voting.in.leg.elec","IAEP...of.pop.voting.in.exec.elec","EXELEC","LEGELEC","QED.Transitional.election","QED.Runoff.election","QED.Freedom.to.change.government","QED.Freedom.of.association","QED.Freedom.of.speech","QED.Overall.election.quality","QED.Extent.of.election.problems","QED.Pre.election.legal.structural.enviornment","QED.Pre.election.political.conditions","QED.Pre.election.violence.unrest","QED.Pre.election.administrative.capacity","QED.Election.day.explicit.cheating","QED.Election.day.violence.unrest","QED.Election.day.administrative.capacity","PEI...years.since.last.regime.transition","PEI.WB.income.level","PEI.PEI.index.of.electoral.integrity..imputed","PEI.Rating.of.electoral.integrity..1.10.","PEI.Electoral.laws.index..0.100...imputed","PEI.Electoral.prodcedures.index..0.100...imputed","PEI.Voting.district.boundaries.index..0.100...imputed","PEI.Voter.regisration.index..0.100...imputed","PEI.Party.candidate.registration.index..0.100...imputed","PEI.Media.coverage.index..0.100...imputed","PEI.Campaign.finance.index..0.100...imputed","PEI.Voting.process.index..0.100...imputed","PEI.Vote.count.index..0.100...imputed","PEI.Voting.results.reactions.index..protests.disputes...0.100...imputed","PEI.Electoral.authorities.index..0.100...imputed","PEI.turnout","POLITY5.fragment","POLITY5.polity2","POLITY5.durable","POLITY5.parreg","POLITY5.parcomp","POLITY5.regtrans","FH.status","FH.fh_total","WB.GDP.per.capita..constant.2015.US..","WB.Foreign.direct.investment..net.inflows..BoP..current.US.","WB.Inflation..consumer.prices..annual...","WB.Gini.index","nelda1","nelda3","nelda4","nelda5","nelda11","nelda17","nelda18","nelda29","nelda30","nelda32","nelda45","nelda46","nelda47","nelda48","nelda49","CIRI.PHYSINT","CIRI.NEW_EMPINX","CIRI.ELECSD","CIRI.WOPOL","CIRI.INJUD","AFRO.datapresent","Press.Freedom.Index"
"18","Chad-1990",0,56.6,2,2,0,"No","Yes","No","No","1","Unitary system","Central government decision","Yes, inexact periods","One day","Yes","Yes","Mixed systems","Directly elected","Majority rule","Missing information","Yes","No","No","No","No","N/A - no election protest",56.6,NA,0,1,0,0,"(1) Citizens do not have right to change government","(1) Citizens do not have freedom of association","(1) Citizens do not have freedom of speech",0.5,"(2) Moderate - moderate problems","(2) Moderate - moderate problems","(1) Low - minor problems only","(3) High - major problems","(0) Good - no problems","(0) Good - no problems","(0) Good - no problems","(0) Good - no problems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,0,3,2,1,"NF",13,419.446507382423,9400000,-0.738282265310936,NA,"yes","yes","no","yes","yes","no","yes","no",NA,"no","no","no",NA,"no","no",0,6,0,0,1,NA,NA
"19","Chad-1996",0,77,2,0,3,"Yes","No","No","No","3","Unitary system","Central government decision","No formal schedule","Missing information","N/A - no elected legislature","No executive elections","N/A - no elected legislature","Missing information","N/A - no elected executive","One","Yes","Missing information","Missing information","Yes","No","N/A - no election protest",NA,77,1,0,1,0,"(2) Right exists but some problems","(2) Right exists but some problems","(2) Right exists but some problems",1,"(2) Moderate - moderate problems","(0) Good - no problems","(2) Moderate - moderate problems","(1) Low - minor problems only","(0) Good - no problems","(3) High - major problems","(0) Good - no problems","(0) Good - no problems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,0,3,3,1,"NF",11,388.438788613585,39466173.5,11.3308789057282,NA,"yes","yes","yes","yes","no","no","no","no",NA,"no","yes","yes","no","no","no",3,8,1,2,0,NA,NA
"20","Chad-1997",0,25.6,2,0,3,"No","Yes","No","No","1","Unitary system","Autonomous decision","Yes, inexact periods","Multiple days","Yes","No","Plurality (FPP)","Directly elected","Majority rule","Missing information","No","Yes","Yes","No","No","N/A - no election protest",25.6,NA,0,1,1,0,"(2) Right exists but some problems","(3) Citizens have freedom of association","(2) Right exists but some problems",1,"(2) Moderate - moderate problems","(0) Good - no problems","(1) Low - minor problems only","(0) Good - no problems","(0) Good - no problems","(3) High - major problems","(0) Good - no problems","(1) Low - minor problems only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,1,3,3,NA,"NF",11,396.587339008284,44293940.5,5.57225711125332,NA,"no","yes","yes","yes","no","no","no","no",NA,"no","yes","yes","no","no","no",2,9,1,2,0,NA,NA
"21","Chad-2001",3,61.4,3,2,3,"Yes","No","No","No","5","Unitary system","Autonomous decision","Yes, inexact periods","Multiple days","Yes","No","Plurality (FPP)","Directly elected","Majority rule","More than two","No","Missing information","Missing information","No","Yes","Widespread participation",NA,61.4,1,0,0,0,"(2) Right exists but some problems","(2) Right exists but some problems","(2) Right exists but some problems",1,"(3) High - major problems","(2) Moderate - moderate problems","(3) High - major problems","(2) Moderate - moderate problems","(0) Good - no problems","(3) High - major problems","(2) Moderate - moderate problems","(1) Low - minor problems only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,5,3,3,NA,"NF",11,403.129702668452,459866391.8,12.4312865279941,NA,"no","yes","yes","yes","no","yes","no","no",NA,"no","yes","yes","no","no","no",3,4,1,2,0,NA,28.8
"22","Chad-2001",3,61.4,3,2,3,"Yes","No","No","No","5","Unitary system","Autonomous decision","Yes, inexact periods","Multiple days","Yes","No","Plurality (FPP)","Directly elected","Majority rule","More than two","No","Missing information","Missing information","No","Yes","Widespread participation",NA,61.4,1,0,0,0,"(2) Right exists but some problems","(2) Right exists but some problems","(2) Right exists but some problems",1,"(3) High - major problems","(2) Moderate - moderate problems","(3) High - major problems","(2) Moderate - moderate problems","(0) Good - no problems","(3) High - major problems","(2) Moderate - moderate problems","(1) Low - minor problems only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,5,3,3,NA,"NF",11,403.129702668452,459866391.8,12.4312865279941,NA,"no","yes","yes","yes","no","yes","no","no",NA,"no","yes","yes","no","no","no",3,4,1,2,0,NA,44
"23","Chad-2002",0,52.4,2,2,2,"No","Yes","No","No","6","Unitary system","Autonomous decision","Yes, inexact periods","Multiple days","Yes","No","Plurality (FPP)","Directly elected","Majority rule","More than two","No","Yes","Yes","Yes","No","N/A - no election protest",52.4,NA,0,1,0,0,"(2) Right exists but some problems","(2) Right exists but some problems","(2) Right exists but some problems",1,"(2) Moderate - moderate problems","(2) Moderate - moderate problems","(2) Moderate - moderate problems","(2) Moderate - moderate problems","(2) Moderate - moderate problems","(2) Moderate - moderate problems","(0) Good - no problems","(1) Low - minor problems only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,6,3,3,NA,"NF",11,420.815937071809,924119210.1,5.19181895195446,NA,"no","yes","yes","yes","no","yes","no","no",NA,"no","yes","no",NA,"no","no",4,7,1,2,0,NA,24
"24","Chad-2002",0,52.4,2,2,2,"No","Yes","No","No","6","Unitary system","Autonomous decision","Yes, inexact periods","Multiple days","Yes","No","Plurality (FPP)","Directly elected","Majority rule","More than two","No","Yes","Yes","Yes","No","N/A - no election protest",52.4,NA,0,1,0,0,"(2) Right exists but some problems","(2) Right exists but some problems","(2) Right exists but some problems",1,"(2) Moderate - moderate problems","(2) Moderate - moderate problems","(2) Moderate - moderate problems","(2) Moderate - moderate problems","(2) Moderate - moderate problems","(2) Moderate - moderate problems","(0) Good - no problems","(1) Low - minor problems only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1,6,3,3,NA,"NF",11,420.815937071809,924119210.1,5.19181895195446,NA,"no","yes","yes","yes","no","yes","no","no",NA,"no","yes","no",NA,"no","no",4,7,1,2,0,NA,37
"25","Chad-2006",0,53.1,3,2,0,"Yes","No","No","No","10","Unitary system","Autonomous decision","Yes, exact periods","One day","No","No","Plurality (FPP)","Directly elected","Majority rule","More than two","No","Yes","Yes","Yes","No","N/A - no election protest",NA,53.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2,14,3,3,NA,"NF",12,657.084735947388,-278413999.9,8.03628897951331,NA,"no","yes","yes","yes","yes","yes","no","no",NA,"no","yes","no","no","no","no",2,4,0,2,0,NA,36.5
"26","Chad-2006",0,53.1,3,2,0,"Yes","No","No","No","10","Unitary system","Autonomous decision","Yes, exact periods","One day","No","No","Plurality (FPP)","Directly elected","Majority rule","More than two","No","Yes","Yes","Yes","No","N/A - no election protest",NA,53.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2,14,3,3,NA,"NF",12,657.084735947388,-278413999.9,8.03628897951331,NA,"no","yes","yes","yes","yes","yes","no","no",NA,"no","yes","no","no","no","no",2,4,0,2,0,NA,71
"27","Chad-2011",0,56.15,2,1,0,"No","No","No","No","15","Unitary system","Autonomous decision","Yes, exact periods","One day","No","No","Plurality (FPP)","Directly elected","Majority rule","More than two","No","Yes","Yes","Yes","No","N/A - no election protest",56.6,55.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2,19,3,3,NA,"NF",13,700.662705270942,281899999.9,2.02924053678257,43.3,"no","yes","yes","yes","yes","no","no","no",NA,"no","yes","yes","no","no","no",3,9,1,2,0,NA,NA
"28","Chad-2016",3,76.1,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1,31.343536,2.3333333,41.666664,18.75,41.11111,33.333332,33.5,27,10,38.854168,35.333332,35.416668,32.708332,76.1,0,-2,24,3,3,NA,"NF",13,704.960071760413,244682121,-0.792440525236028,NA,"no","yes","yes","yes","yes","no","yes","yes","yes","no","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA
"29","Chad-2016",3,76.1,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,1,31.343536,2.3333333,41.666664,18.75,41.11111,33.333332,33.5,27,10,38.854168,35.333332,35.416668,32.708332,76.1,0,-2,24,3,3,NA,"NF",13,704.960071760413,244682121,-0.792440525236028,NA,"no","yes","yes","yes","yes","no","yes","yes","yes","no","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,115
"30","Congo-1961",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-77,-77,-77,NA,NA,1092.74517344473,NA,NA,NA,"yes","no","yes","no","no","no","no","yes","no","no","no",NA,NA,"no","no",NA,NA,NA,NA,NA,NA,NA
"31","Congo-1963",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,0,-88,-88,0,NA,NA,1323.70839977514,NA,NA,NA,"yes","no","no","no","yes","no","no","yes","no","no","no",NA,NA,"no","no",NA,NA,NA,NA,NA,NA,NA
"32","Congo-1973",0,NA,NA,NA,NA,"No",NA,"No","Missing information","3","Unitary system","No regional/provincial governments","Missing information","Missing information","N/A - no legislature","No executive elections","N/A - no legislature","Chosen strictly by a party","N/A - no elected executive","N/A - no legislature","Yes","N/A - no legislature","No","No","No","N/A - no election protest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,7,4,1,NA,"NF",13,1367.0967852882,17719999.9,15.6427621238194,NA,"no","no","no","yes","yes","yes","no","no",NA,"no","no",NA,NA,"no","no",NA,NA,NA,NA,NA,NA,NA
"33","Congo-1979",0,NA,3,3,NA,"No","Yes","No","Missing information","6","Unitary system","Missing information","Missing information","One day","Yes","No executive elections","Majority","Missing information","N/A - no elected executive","Missing information","Yes","No","No","No","No","N/A - no election protest",NA,NA,0,1,NA,NA,"(1) Citizens do not have right to change government","(2) Right exists but some problems","(2) Right exists but some problems",1,"(3) High - major problems","(3) High - major problems",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,13,4,1,NA,"NF",12,1026.95552621552,143849999.9,101.051260411497,NA,"yes","no","no","yes","yes","yes","no","no",NA,"no","no",NA,NA,"no","no",NA,NA,NA,NA,NA,NA,NA
