NEWID,NEWID2,COUNTRY,YEAR,COW,DATELEG,DATEEXEC,LEGELEC,EXELEC,SELTRANS,SELRUNOFF,SP1,SP2,SOBSDOM,SIEMASS,SF1,SF2,SF3,SA1,SA2,SREC,SR0STR,SR11CHEAT,SR13VIOL,SR12CAP,SR21CHEAT,SR23VIOL,SR22CAP,INTERCODER,REC_SCORE,PROBLEMS
71,70,Algeria                     ,1984,615,NA,(1) January,(0) Otherwise,(1) Executive Election,NA,NA,NA,1,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(3) High - major problems,(2) Moderate - moderate problems,NA,(0) Good - no problems,NA,NA,NA,NA,0,4
74,73,Algeria                     ,1987,615,(2) February,NA,(1) Legislative Election,(0) Otherwise,NA,NA,8,0,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,0.5,(3) High - major problems,(1) One variable had to be reconciled,(3) High - major problems,NA,NA,NA,NA,NA,NA,0,1,NA
75,74,Algeria                     ,1988,615,NA,(12) December,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,7,5,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(2) Right exists but some problems,0.5,(3) High - major problems,(1) One variable had to be reconciled,(3) High - major problems,NA,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,2,NA
78,77,Algeria                     ,1991,615,(12) December,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,7,6,(0) Otherwise,(0) Otherwise,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(1) Low - minor problems only,(1) Low - minor problems only,(3) High - major problems,(0) Good - no problems,NA,NA,NA,2,1,2
82,81,Algeria                     ,1995,615,NA,(11) November,(0) Otherwise,(1) Executive Election,(1) Transition or Transitional Election,(0) Otherwise,8,7,(0) Otherwise,(0) Otherwise,(2) Right exists but some problems,(2) Right exists but some problems,(1) Citizens do not have freedom of speech,0,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(2) Moderate - moderate problems,(2) Moderate - moderate problems,(3) High - major problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,1,0,2
84,83,Algeria                     ,1997,615,(6) June,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,11,(0) Otherwise,(1) Presence of International Observers,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(2) Right exists but some problems,0.5,(3) High - major problems,(2) Both variables had to be reconciled,(3) High - major problems,(0) Good - no problems,(2) Moderate - moderate problems,(3) High - major problems,(1) Low - minor problems only,(1) Low - minor problems only,(0) Good - no problems,0,NA,NA
86,85,Algeria                     ,1999,615,NA,(4) April,(0) Otherwise,(1) Executive Election,(0) Otherwise,NA,NA,10,(0) Otherwise,(1) Presence of International Observers,(1) Citizens do not have right to change government,(2) Right exists but some problems,(1) Citizens do not have freedom of speech,1,(3) High - major problems,"(0) No reconciliation, consensus",(2) Moderate - moderate problems,(1) Low - minor problems only,(3) High - major problems,(0) Good - no problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,1,0,5
89,88,Algeria                     ,2002,615,(3) March,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,16,(0) Otherwise,(0) Otherwise,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,(1) One variable had to be reconciled,(2) Moderate - moderate problems,(1) Low - minor problems only,(3) High - major problems,(0) Good - no problems,(2) Moderate - moderate problems,NA,(0) Good - no problems,0,0,2
91,90,Algeria                     ,2004,615,NA,(4) April,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,15,(0) Otherwise,(1) Presence of International Observers,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(1) Low - minor problems only,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,0,0,2
97,96,Angola                      ,1980,540,NA,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,6,4,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,1,(3) High - major problems,"(0) No reconciliation, consensus",(3) High - major problems,(2) Moderate - moderate problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,1,NA,5
103,102,Angola                      ,1986,540,(12) December,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,6,1,(0) Otherwise,(0) Otherwise,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(1) Citizens do not have freedom of speech,1,(3) High - major problems,"(0) No reconciliation, consensus",(3) High - major problems,NA,(3) High - major problems,NA,NA,NA,NA,0,0,5
109,108,Angola                      ,1992,540,(9) September,(9) September,(1) Legislative Election,(1) Executive Election,(0) Otherwise,(0) Otherwise,7,7,(1) Presence of Domestic Observers,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(0) Good - no problems,(1) Low - minor problems only,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,NA,(0) Good - no problems,2,0,2
130,129,Argentina                   ,1983,160,(10) October,(10) October,(1) Legislative Election,(1) Executive Election,(1) Transition or Transitional Election,(0) Otherwise,10,7,(0) Otherwise,(1) Presence of International Observers,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(1) Low - minor problems only,(1) One variable had to be reconciled,(0) Good - no problems,(0) Good - no problems,NA,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,1
132,131,Argentina                   ,1985,160,(11) November,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,7,2,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(1) Low - minor problems only,(1) One variable had to be reconciled,(0) Good - no problems,(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,1,0,1
134,133,Argentina                   ,1987,160,(9) September,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,6,4,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
136,135,Argentina                   ,1989,160,(5) May,(5) May,(1) Legislative Election,(1) Executive Election,(0) Otherwise,(0) Otherwise,5,3,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
138,137,Argentina                   ,1991,160,(12) December,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,6,0,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,0,0,1
140,139,Argentina                   ,1993,160,(10) October,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,5,3,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,1,0,1
142,141,Argentina                   ,1995,160,(5) May,(5) May,(1) Legislative Election,(1) Executive Election,(0) Otherwise,(0) Otherwise,4,5,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
144,143,Argentina                   ,1997,160,(10) October,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,3,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
146,145,Argentina                   ,1999,160,(10) October,(10) October,(1) Legislative Election,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,4,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(2) Right exists but some problems,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
148,147,Argentina                   ,2001,160,(10) October,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,5,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(2) Right exists but some problems,(2) Right exists but some problems,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,NA,1
150,149,Argentina                   ,2003,160,NA,(4) April,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,4,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(1) Low - minor problems only,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,1
153,152,Armenia                     ,1991,371,NA,(10) October,(0) Otherwise,(1) Executive Election,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
157,156,Armenia                     ,1995,371,(7) July,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,7,7,(1) Presence of Domestic Observers,(1) Presence of International Observers,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(3) High - major problems,(1) One variable had to be reconciled,(2) Moderate - moderate problems,(3) High - major problems,(3) High - major problems,(0) Good - no problems,(2) Moderate - moderate problems,(0) Good - no problems,(3) High - major problems,2,0,5
158,157,Armenia                     ,1996,371,NA,(9) September,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,8,(0) Otherwise,(1) Presence of International Observers,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(3) High - major problems,(0) Good - no problems,(2) Moderate - moderate problems,1,0,4
160,159,Armenia                     ,1998,371,NA,(3) March,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,NA,9,(1) Presence of Domestic Observers,(1) Presence of International Observers,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(1) Low - minor problems only,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,0,0,4
161,160,Armenia                     ,1999,371,(5) May,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,15,(1) Presence of Domestic Observers,(1) Presence of International Observers,(2) Right exists but some problems,(3) Citizens have freedom of association,(2) Right exists but some problems,1,(2) Moderate - moderate problems,(1) One variable had to be reconciled,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,(2) Moderate - moderate problems,(0) Good - no problems,(3) High - major problems,3,0,4
165,164,Armenia                     ,2003,371,NA,(3) March,(0) Otherwise,(1) Executive Election,(0) Otherwise,(1) Run-off Election,NA,9,(0) Otherwise,(1) Presence of International Observers,(2) Right exists but some problems,(3) Citizens have freedom of association,(2) Right exists but some problems,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(1) Low - minor problems only,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(3) High - major problems,(2) Moderate - moderate problems,(3) High - major problems,2,0,4
166,165,Armenia                     ,2003,371,(5) May,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(1) Run-off Election,NA,9,(0) Otherwise,(1) Presence of International Observers,(2) Right exists but some problems,(3) Citizens have freedom of association,(2) Right exists but some problems,1,(2) Moderate - moderate problems,"(0) No reconciliation, consensus",(1) Low - minor problems only,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,(3) High - major problems,(2) Moderate - moderate problems,(3) High - major problems,0,0,4
170,169,Australia                   ,1977,900,(12) December,NA,(1) Legislative Election,(0) Otherwise,NA,NA,2,1,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,0
173,172,Australia                   ,1980,900,(10) October,NA,(1) Legislative Election,(0) Otherwise,NA,NA,4,1,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,0
176,175,Australia                   ,1983,900,(3) March,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,4,2,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(2) Right exists but some problems,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
177,176,Australia                   ,1984,900,(12) December,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,4,2,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
180,179,Australia                   ,1987,900,(7) July,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,2,2,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
183,182,Australia                   ,1990,900,(3) March,NA,(1) Legislative Election,(0) Otherwise,NA,NA,NA,1,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
186,185,Australia                   ,1993,900,(3) March,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,3,3,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,NA,NA,NA,NA,NA,NA,0,0,0
189,188,Australia                   ,1996,900,(3) March,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,3,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
191,190,Australia                   ,1998,900,(10) October,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,4,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
194,193,Australia                   ,2001,900,(11) November,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,5,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,2,0,0
197,196,Australia                   ,2004,900,(10) October,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,NA,6,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
202,201,Austria                     ,1979,305,(5) May,NA,(1) Legislative Election,(0) Otherwise,NA,NA,3,1,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,0
203,202,Austria                     ,1980,305,NA,(5) May,(0) Otherwise,(1) Executive Election,NA,NA,3,0,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,0
206,205,Austria                     ,1983,305,(4) April,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,5,5,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
209,208,Austria                     ,1986,305,NA,(6) June,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,4,3,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
210,209,Austria                     ,1986,305,(11) November,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,4,3,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
214,213,Austria                     ,1990,305,(10) October,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,4,4,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
215,214,Austria                     ,1991,305,(11) November,NA,(1) Legislative Election,(0) Otherwise,NA,NA,NA,2,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
216,215,Austria                     ,1992,305,NA,(5) May,(0) Otherwise,(1) Executive Election,(0) Otherwise,(0) Otherwise,3,3,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
218,217,Austria                     ,1994,305,(10) October,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,2,3,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
219,218,Austria                     ,1995,305,(12) December,NA,(1) Legislative Election,(0) Otherwise,(0) Otherwise,(0) Otherwise,3,3,(0) Otherwise,(0) Otherwise,(3) Citizens have the right to change government,(3) Citizens have freedom of association,(3) Citizens have freedom of speech,0,(0) Good - no problems,"(0) No reconciliation, consensus",(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,0,0,0
