country_year,electexec,electleg,electboth,IAEP.Constitution amended this year?,IAEP.Age of constitution (years),govstruct,IAEP.Regional government reps selected,IAEP.Election scheduled,IAEP.Election period,IAEP.Do party nominations field leg candidates?,IAEP.Do party nominations field executive candidates?,IAEP.Leg elec sys,IAEP.Exec elec sys,IAEP.Exec elec rules,IAEP.Num of parties that hold >= 5% of legislature,IAEP.Official state party?,IAEP.Leg elec competetive?,IAEP.Exec elec competetive?,IAEP.Boycotted by major party?,IAEP.Did election cause protest/violence?,IAEP.protestpart,IAEP.% of pop voting in leg elec,IAEP.% of pop voting in exec elec,EXELEC,LEGELEC,QED.Transitional election,QED.Runoff election,QED.Freedom to change government,QED.Freedom of association,QED.Freedom of speech,QED.Overall election quality,QED.Extent of election problems,QED.Pre-election legal structural enviornment,QED.Pre-election political conditions,QED.Pre-election violence/unrest,QED.Pre-election administrative capacity,QED.Election day explicit cheating,QED.Election day violence/unrest,QED.Election day administrative capacity,PEI.# years since last regime transition,PEI.WB income level,"PEI.PEI index of electoral integrity, imputed",PEI.Rating of electoral integrity (1-10),"PEI.Electoral laws index (0-100), imputed","PEI.Electoral prodcedures index (0-100), imputed","PEI.Voting district boundaries index (0-100), imputed","PEI.Voter regisration index (0-100), imputed","PEI.Party/candidate registration index (0-100), imputed","PEI.Media coverage index (0-100), imputed","PEI.Campaign finance index (0-100), imputed","PEI.Voting process index (0-100), imputed","PEI.Vote count index (0-100), imputed","PEI.Voting results/reactions index (protests/disputes) (0-100), imputed","PEI.Electoral authorities index (0-100), imputed",PEI.turnout,nelda1,nelda3,nelda4,nelda5,nelda11,nelda17,nelda18,nelda29,nelda30,nelda32,nelda45,nelda46,nelda47,nelda48,nelda49,VDEM.turnout,VDEM.VAP_turnout,VDEM.EMB_capacity_ord,VDEM.yrs_education,v2xel_elecparl,v2xel_elecpres,VDEM.elec_viol,VDEM.international_monitors_present,country,POLITY5.fragment,POLITY5.polity2,POLITY5.durable,POLITY5.parreg,POLITY5.parcomp,POLITY5.regtrans,FH.status,FH.fh_total,WB.GDP per capita (constant 2015 US$),"WB.Foreign direct investment, net inflows (BoP, current US$","WB.Inflation, consumer prices (annual %)",WB.Gini index,WB.%pop living in urban,WB.adult literacy rate,CIRI.PHYSINT,CIRI.NEW_EMPINX,CIRI.ELECSD,CIRI.WOPOL,CIRI.INJUD,Press Freedom Index,"AFROBAR.Election Integrity (10=free/fair, 0=unfree/unfair)"
Algeria-1991,No,No,No,No,2,Unitary system,Central government decision,"Yes, exact periods",Multiple days,Yes,Yes,Proportional representation,Directly elected,Majority rule,One,No,Missing information,Missing information,Missing information,Missing information,Missing information,.a,.a,0,1,0,0,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,(1) Low - minor problems only,(1) Low - minor problems only,(3) High - major problems,(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,no,no,yes,yes,no,yes,no,N/A,N/A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,Algeria,NA,-2,2,2,3,NA,PF,8,3011.49993329454,11638686.4524336,25.8863869348513,NA,52.871,NA,4,4,0,1,1,NA,NA
Algeria-1992,No,Yes,No,No,3,Unitary system,Central government decision,"Yes, exact periods",Multiple days,Yes,Yes,Majority,Directly elected,Majority rule,One,No,Yes,Yes,No,Missing information,Missing information,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Algeria,NA,-7,0,4,1,-1,NF,13,2994.4913203765,30000000,31.6696619117149,NA,53.657,NA,2,3,0,2,1,NA,NA
Algeria-1995,Yes,No,No,Missing information,NA,Unitary system,No regional/provincial governments,No formal schedule,One day,N/A - no elected legislature,No,N/A - no elected legislature,Directly elected,Majority rule,Missing information,No,Missing information,Missing information,Yes,No,N/A - no election protest,.a,60.9,1,0,1,0,(2) Right exists but some problems,(2) Right exists but some problems,(1) Citizens do not have freedom of speech,0,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(3) High - major problems,(0) Good - no problems,(1) Low - minor problems only,(0) Good - no problems,(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,no,no,yes,no,N/A,no,yes,yes,no,no,no,NA,NA,NA,NA,NA,NA,NA,NA,Algeria,NA,-3,0,3,3,1,NF,12,2834.26519284736,1000,29.7796264864999,35.3,55.997,NA,0,3,0,2,1,NA,NA
Algeria-1997,No,Yes,No,No,21,Unitary system,No regional/provincial governments,"Yes, inexact periods",One day,Yes,No,Proportional representation,Directly elected,Majority rule,More than two,No,Yes,Yes,Yes,No,N/A - no election protest,65.59999999999999,.a,0,1,0,0,(1) Citizens do not have right to change government,(1) Citizens do not have freedom of association,(2) Right exists but some problems,0.5,(3) High - major problems,(3) High - major problems,(0) Good - no problems,(2) Moderate - moderate problems,(3) High - major problems,(1) Low - minor problems only,(1) Low - minor problems only,(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,NA,NA,NA,NA,NA,NA,NA,NA,Algeria,NA,-3,2,3,3,NA,NF,12,2884.12022797144,260000000,5.73352275357186,NA,57.544,NA,0,6,0,2,1,NA,NA
Algeria-1999,Yes,No,No,No,23,Unitary system,No regional/provincial governments,"Yes, inexact periods",One day,Yes,No,Proportional representation,Directly elected,Majority rule,More than two,No,Missing information,Missing information,Yes,Yes,Widespread participation,.a,60.9,1,0,0,NA,(1) Citizens do not have right to change government,(2) Right exists but some problems,(1) Citizens do not have freedom of speech,1,(3) High - major problems,(2) Moderate - moderate problems,(1) Low - minor problems only,(3) High - major problems,(0) Good - no problems,(3) High - major problems,(0) Good - no problems,(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,no,no,yes,yes,no,no,N/A,N/A,no,no,NA,NA,NA,NA,NA,NA,NA,NA,Algeria,NA,-3,4,3,3,NA,NF,11,3038.27291538375,291600000,2.64551113392798,NA,59.118,NA,0,6,1,2,1,NA,NA
Algeria-2002,No,Yes,No,Yes,26,Unitary system,No regional/provincial governments,"Yes, inexact periods",One day,Yes,No,Proportional representation,Directly elected,Majority rule,More than two,No,Yes,Yes,Yes,No,N/A - no election protest,46.17,.a,0,1,0,0,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(1) Low - minor problems only,(3) High - major problems,(0) Good - no problems,(2) Moderate - moderate problems,NA,(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,N/A,N/A,no,no,46.17,45.08,3,6.62,1,0,3.614,0,Algeria,0,-3,7,3,3,NA,NF,11,3297.61281111413,1064960000,1.41830192345045,NA,61.501,69.8734970092773,2,6,1,2,1,33,NA
Algeria-2002,No,Yes,No,Yes,26,Unitary system,No regional/provincial governments,"Yes, inexact periods",One day,Yes,No,Proportional representation,Directly elected,Majority rule,More than two,No,Yes,Yes,Yes,No,N/A - no election protest,46.17,.a,0,1,0,0,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(1) Low - minor problems only,(3) High - major problems,(0) Good - no problems,(2) Moderate - moderate problems,NA,(0) Good - no problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,N/A,N/A,no,no,46.17,45.08,3,6.62,1,0,3.614,0,Algeria,0,-3,7,3,3,NA,NF,11,3297.61281111413,1064960000,1.41830192345045,NA,61.501,69.8734970092773,2,6,1,2,1,59,NA
Algeria-2004,Yes,No,No,No,28,Unitary system,No regional/provincial governments,"Yes, inexact periods",One day,Yes,No,Proportional representation,Directly elected,Majority rule,More than two,No,Missing information,Missing information,Yes,Yes,Low participation,.a,58.07,1,0,0,0,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,(1) Low - minor problems only,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,no,yes,no,yes,unclear,no,yes,yes,no,no,no,58.07,53.6,3,6.79,0,1,3.62,1,Algeria,0,2,0,3,3,2,NF,11,3592.64530104949,884749028,3.96180030257191,NA,63.061,NA,5,4,1,1,1,40.33,NA
Algeria-2004,Yes,No,No,No,28,Unitary system,No regional/provincial governments,"Yes, inexact periods",One day,Yes,No,Proportional representation,Directly elected,Majority rule,More than two,No,Missing information,Missing information,Yes,Yes,Low participation,.a,58.07,1,0,0,0,(2) Right exists but some problems,(2) Right exists but some problems,(2) Right exists but some problems,0,(2) Moderate - moderate problems,(1) Low - minor problems only,(2) Moderate - moderate problems,(2) Moderate - moderate problems,(0) Good - no problems,(0) Good - no problems,(0) Good - no problems,(1) Low - minor problems only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,no,yes,no,yes,unclear,no,yes,yes,no,no,no,58.07,53.6,3,6.79,0,1,3.62,1,Algeria,0,2,0,3,3,2,NF,11,3592.64530104949,884749028,3.96180030257191,NA,63.061,NA,5,4,1,1,1,69,NA
Algeria-2007,No,Yes,No,No,31,Unitary system,Missing information,"Yes, inexact periods",One day,Yes,No,Proportional representation,Directly elected,Majority rule,More than two,No,Yes,Yes,Yes,No,N/A - no election protest,35.51,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,no,no,no,N/A,no,no,N/A,N/A,no,no,35.51,32.02,3,7.045,1,0,3.121,0,Algeria,0,2,3,3,3,NA,NF,11,3828.14847629173,1686736539.70385,3.67899574741703,NA,65.348,NA,4,5,1,2,0,31.33,NA
Algeria-2007,No,Yes,No,No,31,Unitary system,Missing information,"Yes, inexact periods",One day,Yes,No,Proportional representation,Directly elected,Majority rule,More than two,No,Yes,Yes,Yes,No,N/A - no election protest,35.51,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,no,no,no,N/A,no,no,N/A,N/A,no,no,35.51,32.02,3,7.045,1,0,3.121,0,Algeria,0,2,3,3,3,NA,NF,11,3828.14847629173,1686736539.70385,3.67899574741703,NA,65.348,NA,4,5,1,2,0,54,NA
Algeria-2009,Yes,No,No,No,33,Unitary system,Missing information,"Yes, inexact periods",One day,Yes,No,Proportional representation,Directly elected,Majority rule,More than two,No,Missing information,Missing information,Yes,Yes,Missing information,.a,74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,N/A,no,no,74.56,65.86,3,7.215,0,1,2.767,1,Algeria,0,2,5,3,3,NA,NF,11,3851.21377722335,2746930734.16534,5.73706036145632,NA,66.826,NA,6,3,1,2,1,47.33,NA
Algeria-2009,Yes,No,No,No,33,Unitary system,Missing information,"Yes, inexact periods",One day,Yes,No,Proportional representation,Directly elected,Majority rule,More than two,No,Missing information,Missing information,Yes,Yes,Missing information,.a,74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,N/A,no,no,74.56,65.86,3,7.215,0,1,2.767,1,Algeria,0,2,5,3,3,NA,NF,11,3851.21377722335,2746930734.16534,5.73706036145632,NA,66.826,NA,6,3,1,2,1,93,NA
Algeria-2012,No,Yes,No,No,36,Unitary system,Missing information,"Yes, inexact periods",One day,Yes,No,Proportional representation,Directly elected,Majority rule,More than two,No,Yes,Yes,No,No,N/A - no election protest,43.14,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,yes,no,no,N/A,no,yes,yes,no,no,no,43.14,38.7,3,7.3,1,0,2.77,1,Algeria,0,2,8,3,3,NA,NF,11,4012.36150559795,1500402452.8635,8.89145091062314,NA,68.915,NA,NA,NA,NA,NA,NA,36.54,NA
Algeria-2012,No,Yes,No,No,36,Unitary system,Missing information,"Yes, inexact periods",One day,Yes,No,Proportional representation,Directly elected,Majority rule,More than two,No,Yes,Yes,No,No,N/A - no election protest,43.14,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,yes,no,no,N/A,no,yes,yes,no,no,no,43.14,38.7,3,7.3,1,0,2.77,1,Algeria,0,2,8,3,3,NA,NF,11,4012.36150559795,1500402452.8635,8.89145091062314,NA,68.915,NA,NA,NA,NA,NA,NA,109,NA
Algeria-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,43.112244,3.75,25,47.773438,46.25,42.5,35.34375,43.75,26.1875,52.03125,60.375,48.75,35.15625,49.4,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,49.42,43.57,3,7.3,0,1,2.892,1,Algeria,0,2,10,3,3,NA,NF,11,4112.07602394229,1502206170.55838,2.91692692067457,NA,70.221,NA,NA,NA,NA,NA,NA,36.63,NA
Algeria-2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,43.112244,3.75,25,47.773438,46.25,42.5,35.34375,43.75,26.1875,52.03125,60.375,48.75,35.15625,49.4,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,49.42,43.57,3,7.3,0,1,2.892,1,Algeria,0,2,10,3,3,NA,NF,11,4112.07602394229,1502206170.55838,2.91692692067457,NA,70.221,NA,NA,NA,NA,NA,NA,113,NA
Algeria-2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,3,43.333332,4.1666665,36.28472,49.296875,50.694443,40.625,44.25,45.5625,26.270834,48.42448,46.25,49.244793,36.822918,28,no,yes,yes,yes,yes,no,yes,no,N/A,no,unclear,N/A,N/A,no,no,37.09,31.65,2,7.3,1,0,2.903,1,Algeria,0,2,13,3,3,NA,NF,11,4192.33769222334,1230243450.87889,5.59111590961673,NA,72.052,NA,NA,NA,NA,NA,NA,42.83,NA
Algeria-2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,3,43.333332,4.1666665,36.28472,49.296875,50.694443,40.625,44.25,45.5625,26.270834,48.42448,46.25,49.244793,36.822918,28,no,yes,yes,yes,yes,no,yes,no,N/A,no,unclear,N/A,N/A,no,no,37.09,31.65,2,7.3,1,0,2.903,1,Algeria,0,2,13,3,3,NA,NF,11,4192.33769222334,1230243450.87889,5.59111590961673,NA,72.052,NA,NA,NA,NA,NA,NA,134,NA
Algeria-2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,unclear,no,yes,yes,no,no,N/A,N/A,no,unclear,39.88,34.86,1,7.3,0,1,2.015,0,Algeria,NA,NA,NA,NA,NA,NA,NF,11,4115.39553969777,1381200049.59264,1.95176821052894,NA,73.189,NA,NA,NA,NA,NA,NA,45.75,NA
Algeria-2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,yes,unclear,no,yes,yes,no,no,N/A,N/A,no,unclear,39.88,34.86,1,7.3,0,1,2.015,0,Algeria,NA,NA,NA,NA,NA,NA,NF,11,4115.39553969777,1381200049.59264,1.95176821052894,NA,73.189,NA,NA,NA,NA,NA,NA,141,NA
